"df_crime_xts","Dtss"
1821,"2001-01-01 23:59:54"
1143,"2001-01-02 23:55:00"
1151,"2001-01-03 23:59:00"
1166,"2001-01-04 23:55:01"
1267,"2001-01-05 23:59:00"
1290,"2001-01-06 23:57:00"
1105,"2001-01-07 23:47:00"
1157,"2001-01-08 23:56:19"
1184,"2001-01-09 23:59:57"
1237,"2001-01-10 23:45:00"
1228,"2001-01-11 23:59:00"
1353,"2001-01-12 23:55:19"
1311,"2001-01-13 23:54:50"
1119,"2001-01-14 23:59:11"
1312,"2001-01-15 23:58:23"
1251,"2001-01-16 23:55:00"
1288,"2001-01-17 23:59:18"
1278,"2001-01-18 23:59:21"
1214,"2001-01-19 23:55:00"
1256,"2001-01-20 23:58:56"
1105,"2001-01-21 23:58:55"
1180,"2001-01-22 23:57:00"
1250,"2001-01-23 23:57:00"
1101,"2001-01-24 23:59:00"
1183,"2001-01-25 23:56:14"
1296,"2001-01-26 23:55:00"
1215,"2001-01-27 23:59:47"
1076,"2001-01-28 23:59:00"
1172,"2001-01-29 23:57:33"
1211,"2001-01-30 23:57:28"
1189,"2001-01-31 23:59:00"
1332,"2001-02-01 23:58:07"
1236,"2001-02-02 23:55:00"
1184,"2001-02-03 23:58:00"
1149,"2001-02-04 23:59:00"
1313,"2001-02-05 23:58:13"
1195,"2001-02-06 23:55:00"
1245,"2001-02-07 23:54:35"
1242,"2001-02-08 23:59:00"
1285,"2001-02-09 23:54:10"
1089,"2001-02-10 23:58:17"
1049,"2001-02-11 23:57:50"
1235,"2001-02-12 23:55:00"
1241,"2001-02-13 23:50:00"
1228,"2001-02-14 23:57:38"
1294,"2001-02-15 23:59:56"
1213,"2001-02-16 23:56:54"
1078,"2001-02-17 23:56:42"
1080,"2001-02-18 23:55:00"
1211,"2001-02-19 23:59:00"
1257,"2001-02-20 23:59:00"
1223,"2001-02-21 23:58:00"
1126,"2001-02-22 23:58:39"
1201,"2001-02-23 23:54:48"
1237,"2001-02-24 23:58:00"
1162,"2001-02-25 23:58:20"
1204,"2001-02-26 23:59:31"
1247,"2001-02-27 23:58:54"
1226,"2001-02-28 23:58:11"
1593,"2001-03-01 23:55:00"
1398,"2001-03-02 23:58:08"
1323,"2001-03-03 23:58:00"
1162,"2001-03-04 23:55:00"
1232,"2001-03-05 23:59:12"
1248,"2001-03-06 23:52:03"
1369,"2001-03-07 23:56:31"
1356,"2001-03-08 23:55:00"
1421,"2001-03-09 23:59:04"
1267,"2001-03-10 23:55:00"
1144,"2001-03-11 23:55:00"
1264,"2001-03-12 23:58:00"
1291,"2001-03-13 23:59:13"
1317,"2001-03-14 23:59:00"
1258,"2001-03-15 23:59:00"
1256,"2001-03-16 23:50:07"
1088,"2001-03-17 23:58:35"
1191,"2001-03-18 23:59:16"
1345,"2001-03-19 23:57:46"
1433,"2001-03-20 23:59:00"
1373,"2001-03-21 23:55:00"
1374,"2001-03-22 23:58:44"
1481,"2001-03-23 23:59:00"
